Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,CHANGEDONDATE
123456789,2000-09-10,,999-00-0001,,X83694889XZ,Mrs.,Orange33,,Flson567,,,M,white,nonhispanic,F,,,,,,,,,,,,,
,2000-01-01,,999-27-0000,S999951011,X83694889XY,Mrs.,Apple12,,Pinkson567,,,M,white,nonhispanic,F,,,,,,,,,,,,,2025-02-13
37c177ea-4398-fb7a-29fa-70eb3d673876,1994-01-27,,999-27-9779,S99995100,X83694889X,Mrs.,Carlyn477,Florencia449,Rogahn59,,Rogahn59,D,asian,nonhispanic,F,Franklin  Massachusetts  US,160 Fadel Crossroad Apt 65,Wareham,Massachusetts,Plymouth County,,0,41.78909621,-70.71161606,12895.15,659951.61,17382,2025-02-13
c1acd7ba-dacf-36d2-6010-db8934400000,1968-08-06,,999-97-4087,S99911538,X37637991X,Mr.,Willian804,Shelton25,Keeling57,Sr.,,M,white,nonhispanic,M,Methuen  Massachusetts  US,848 Ebert Knoll Unit 7,Braintree,Massachusetts,Norfolk County,25021,2184,42.21400862,-71.00489563,175817.63,55473.97,49737,2025-02-13
50ca7edb-0dee-35e6-5d8f-66fbcb0b37c1,1948-05-28,,999-27-5104,S99999999,X59458953X,Mr.,Arnulfo253,Jordan900,Jaskolski867,,,D,white,nonhispanic,M,Boston  Massachusetts  US,757 Lockman Annex Apt 10,Georgetown,Massachusetts,Essex County,,0,42.69560171,-70.97251049,242013.44,322768.97,35255,2025-02-13
d5635f98-2461-70a1-5916-f854efa27fc0,1934-03-13,,999-67-4493,S99957069,X10952633X,Mrs.,Jolyn4,Kattie846,Ortiz186,,Kshlerin58,M,white,nonhispanic,F,Milford  Massachusetts  US,174 O'Keefe Way Unit 17,Blackstone,Massachusetts,Worcester County,,0,42.06781669,-71.56382699,934784.64,432468.96,97499,2025-02-13
f07fac6b-0a84-7874-f0d2-e1a1e1cffa09,1955-05-23,,999-94-2622,S99993326,X11620374X,Mr.,Nathanael908,Eduardo902,Wisozk929,,,M,white,nonhispanic,M,Orange  Massachusetts  US,823 Hintz Trail,Whitinsville,Massachusetts,Worcester County,25027,1588,42.10308958,-71.63416759,217144.14,190127.82,90000,2024-01-01
8d2a62f2-d630-6288-93ee-0fea3f859560,1960-06-08,,999-19-2698,S99950818,X66933241X,Mrs.,Elvera717,,Koepp521,,Durgan499,W,white,nonhispanic,F,Danvers  Massachusetts  US,691 Jacobson Quay,Stoneham,Massachusetts,Middlesex County,25017,2180,42.5162651,-71.06071206,134469.8,1015294.53,90000,2025-02-13
87cb7301-9d12-b048-416d-2b290eed1bde,1971-01-01,,999-31-8213,S99969306,X59998518X,Mrs.,Eva64,Gloria696,Gurule738,,Abreu185,M,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,443 Nicolas Overpass,Stoneham,Massachusetts,Middlesex County,25017,2180,42.44962582,-71.12021589,351795.32,242319.5,90000,2025-02-13
2d799deb-df07-0c4a-8692-42cce7595251,2006-02-13,,999-99-6229,S99921913,,Ms.,Aleisha941,Lesha323,Treutel973,,,,white,nonhispanic,F,West Springfield  Massachusetts  US,1095 Will Ville,Springfield,Massachusetts,Hampden County,25013,1108,42.12169707,-72.5987263,4416.06,73077.68,90000,2025-02-13
bad5a231-3709-952a-cf44-f8d6a52cc214,1961-11-15,,999-77-4825,S99987790,X35857365X,Mr.,German382,Lonnie913,Ebert178,,,M,white,nonhispanic,M,North Pembroke  Massachusetts  US,544 Morissette Esplanade Unit 30,Tisbury,Massachusetts,Dukes County,,0,41.49098336,-70.61376021,976441.28,521994.74,90000,2025-02-13
24a8f8bc-f502-5f0e-0dd7-27d64a15ed9e,2010-08-05,,999-51-1779,,,,Hershel911,,Labadie908,,,,white,nonhispanic,M,Peabody  Massachusetts  US,459 Schaefer Brook Unit 18,Southborough,Massachusetts,Worcester County,,0,42.2889887,-71.57314442,19307.63,254188.72,90000,2025-02-13
f3884e8a-8b36-1e93-66dd-e910dfab2ef5,1978-08-24,,999-76-2430,S99945856,X47513897X,Mr.,Boyd728,Karl184,Bosco882,,,M,white,nonhispanic,M,Tisbury  Massachusetts  US,725 Legros Underpass,Northbridge,Massachusetts,Worcester County,,0,42.17194719,-71.65453181,599556.8,129273.89,35860,2025-02-15
17e0bdef-4558-cc1d-2d44-90868cad827b,1983-11-14,,999-60-1723,S99973719,X19786794X,Mrs.,Laurie826,Tisa11,Bechtelar572,,Ondricka197,M,white,nonhispanic,F,Westport  Massachusetts  US,370 Cremin Course,Walpole,Massachusetts,Norfolk County,25021,2081,42.18695626,-71.23785404,143050.4,710376.2,742063,2025-02-15
dc323bce-e583-d903-303e-9c865bc87e67,2012-09-02,,999-90-3605,,,,Carson894,Raphael767,Littel644,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,467 Collier Stravenue Unit 12,Attleboro,Massachusetts,Bristol County,44007,2861,41.94870303,-71.3042012,45972.75,0,71169,2025-02-15
5c779b5a-b6f0-2954-0c1c-9855c010d4d0,1955-10-26,,999-54-6238,S99943017,X80652924X,Mr.,Homero668,Jorge203,Quiñones183,,,M,white,hispanic,M,Havana  Havana  CU,1055 Konopelski Harbor,Agawam,Massachusetts,Hampden County,25013,1030,42.01877335,-72.62755691,11447.07,232656.08,7361,2025-02-15
12696753-a126-88f4-da66-a87c70d2cad7,2003-11-12,,999-74-6285,S99947206,X17586296X,Ms.,Aurea194,Angelo118,Weissnat378,,,,white,nonhispanic,F,Worcester  Massachusetts  US,749 Labadie Road,Worcester,Massachusetts,Worcester County,25027,1606,42.21294581,-71.83751165,5238.06,253645.3,8752,2025-02-15
8a25981a-eb31-cb7c-047d-8249f6111a3e,1996-04-23,,999-73-3713,S99962778,X65438175X,Mr.,Clair921,,O'Reilly797,,,S,asian,nonhispanic,M,South Deerfield  Massachusetts  US,118 Dare Trace Suite 55,Middleborough Center,Massachusetts,Plymouth County,,0,41.93348354,-70.87794902,91153.02,169109.9,33949,2025-02-15
b0f6cc39-6dfd-4ac2-84c7-e7478723d563,1969-06-26,,999-23-6684,S99972764,X57766855X,Mrs.,Leonor133,Silvia880,Colunga237,,Corral791,D,white,hispanic,F,Bayamon  Puerto Rico  PR,620 Flatley Corner,Springfield,Massachusetts,Hampden County,25013,1199,42.13122554,-72.61762464,349405.27,153655.72,44636,2025-02-15
355f70c7-b1f4-b1db-8843-56b8b193a30c,1999-03-08,,999-77-9888,S99939910,X71615350X,Ms.,Yolanda648,Andrea7,Baca589,,,,white,hispanic,F,Santo Domingo  National District  DO,221 Witting Spur Suite 88,Reading,Massachusetts,Middlesex County,25017,1867,42.52367011,-71.1488139,89732.66,405470.53,116503,2025-02-15
65016a46-14f4-d19a-f82f-10299aba4c14,1956-09-20,,999-48-1113,S99932634,X81533091X,Ms.,Pauletta164,Brooke250,Spencer878,,,S,white,nonhispanic,F,Oak Bluffs  Massachusetts  US,524 Brekke Promenade,Lowell,Massachusetts,Middlesex County,25017,1852,42.63166141,-71.24977663,592752.49,332554.01,69926,2025-02-15
d27273f0-f62d-7d7f-746d-4565f35cf176,1946-01-24,,999-94-6931,S99945569,X88227027X,Mr.,Aubrey96,Herschel574,Schmidt332,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,957 Rohan Vista,Greenfield,Massachusetts,Franklin County,25011,1301,42.60866322,-72.54947692,580721.05,900011.77,82922,2025-02-15
9e9b5929-6880-fd20-f386-026109e24028,1975-12-16,,999-95-2901,S99947128,X46498741X,Mrs.,Britteny287,Brigida296,Carter549,,Raynor401,M,white,nonhispanic,F,Barre  Massachusetts  US,354 Jakubowski Mall,West Yarmouth,Massachusetts,Barnstable County,25001,2673,41.68058212,-70.28956236,15637.97,1009957.09,16969,2025-02-15
916b1ac8-56c8-ec1b-3b9a-721336a74912,1953-05-10,,999-16-3735,S99968840,X83646024X,Ms.,Tambra47,Brittni468,Balistreri607,,,S,white,nonhispanic,F,Lexington  Massachusetts  US,146 Rowe Village Suite 3,New Bedford,Massachusetts,Bristol County,25005,2743,41.69575949,-71.01390758,281198.9,310261.21,140772,2025-02-15
