Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,src_changed_on_dt
363f50e2-9771-dfb4-1ff5-3d7db24b9ada,2021-09-04,,999-22-4018,,,,Juliette736,McClure239,,,,white,nonhispanic,F,Quincy  Massachusetts  US,293 Pacocha Knoll Unit 74,Boston,Massachusetts,Suffolk County,2128,42.4360126,-71.01435216,7728.18,0,2024-02-12 0:00:00
363f50e2-9771-dfb4-1ff5-3d7db24b9ada,2011-09-04,,999-22-4018,,,,Juliette736,McClure239,,,,white,nonhispanic,F,Quincy  Massachusetts  US,293 Pacocha Knoll Unit 74,Boston,Massachusetts,Suffolk County,2128,42.4360126,-71.01435216,7728.18,0,2024-03-03 0:00:00
3a74ce3c-442e-b4ef-fb10-560f58f8e613,1997-03-26,,999-49-2054,S99976277,X9668781X,Mr.,Leif534,Williamson769,III,,S,white,nonhispanic,M,Boston  Massachusetts  US,131 Shanahan Hollow Unit 98,Amherst,Massachusetts,Hampshire County,,42.3224843,-72.48889382,79244.404,30103.676,2024-03-03 0:00:00
04f25f73-04b2-469c-3806-540417a0d61c,1969-10-19,2005-11-09,999-93-4258,S99913030,X20390688X,Mrs.,Maye976,Dickinson688,,Glover433,M,white,hispanic,F,Plymouth  Massachusetts  US,392 Renner Divide Suite 57,Woburn,Massachusetts,Middlesex County,,42.4784717,-71.16214462,2815496.547,7908.8925,2024-03-03 0:00:00
3ff3637c-86a6-6d45-8e41-f1b2c96fbcf4,2010-01-13,,999-95-3226,,,,Rosana394,Kessler503,,,,white,nonhispanic,F,Mashpee  Massachusetts  US,276 Deckow Tunnel Unit 19,Lowell,Massachusetts,Middlesex County,,42.60471483,-71.30423463,298852.3775,543.9825,2024-03-03 0:00:00
6b3a5686-0f63-5ce4-cc03-0bba2052f7b1,1958-10-28,,999-96-8207,S99914224,X43330625X,Mrs.,Lashawnda573,O'Hara248,,Greenfelder433,M,white,nonhispanic,F,Deerfield  Massachusetts  US,230 Robel Drive Suite 95,Lowell,Massachusetts,Middlesex County,1851,42.63165279,-71.37344386,1210508.126,1210783.844,2024-03-03 0:00:00
e70e7298-5026-74b0-505b-110dd1ce0af7,1941-10-26,,999-95-6406,S99955846,X26191014X,Mrs.,Lyla842,Braun514,,Kozey370,M,white,nonhispanic,F,Framingham  Massachusetts  US,250 Senger Glen Suite 62,Canton,Massachusetts,Norfolk County,,42.14481837,-71.0904625,2328980.126,274946.544,2024-03-03 0:00:00
8761af66-90ad-7f7d-2102-58b767495473,1991-06-21,,999-65-6080,S99986136,X63302614X,Mr.,Jack927,Barton704,,,S,white,nonhispanic,M,Boston  Massachusetts  US,156 Haley Manor Unit 66,Medford,Massachusetts,Middlesex County,,42.461856,-71.06937481,760228.9025,3786.1575,2024-03-03 0:00:00
50aac3ff-d836-adfd-620d-662fa08fdf55,1960-09-23,,999-39-5007,S99928200,X13955983X,Mrs.,Jacquelynn434,Morar593,,Connelly992,M,white,nonhispanic,F,Cambridge  Massachusetts  US,638 Hamill Orchard,Holyoke,Massachusetts,Hampden County,,42.18367618,-72.61096972,515229.476,1361112.994,2024-03-03 0:00:00
fcca54e8-5abe-cd71-30a0-464f15368bea,1993-12-12,,999-93-3994,S99954518,X33164416X,Mrs.,Oneida64,Stokes453,,Lemke654,M,white,nonhispanic,F,Revere  Massachusetts  US,1085 Grant Boulevard,Marblehead,Massachusetts,Essex County,,42.49291246,-70.82288754,1814465.263,3730.7175,2024-03-03 0:00:00
c88891ca-5796-aca3-c67d-0b2043dd0463,2007-12-14,,999-76-2033,,,,Alexander630,Robel940,,,,white,nonhispanic,M,Westfield  Massachusetts  US,337 Nicolas Light,Marshfield,Massachusetts,Plymouth County,2050,42.12065616,-70.7122451,629927.13,131.22,2024-03-03 0:00:00
5e2cd800-901b-55d3-edf4-ab6e3c7524ff,1973-03-13,,999-31-9450,S99941509,X19453034X,Mr.,Jonathon205,Rice937,JD,bulbul,M,white,nonhispanic,M,Beverly  Massachusetts  US,856 Corkery Ferry Apt 50,Somerville,Massachusetts,Middlesex County,2138,42.36139427,-71.11072242,978259.775,23108.145,2024-03-03 0:00:00
6b3a5686-0f63-5ce4-cc03-0bba2052f7b1,1958-10-28,,999-96-8207,S99914224CA,X43330625X-MODIFIED,Mrs.,Lashawnda573,O'Hara248,,Greenfelder433,M,white,nonhispanic,F,Deerfield  Massachusetts  US,230 Robel Drive Suite 95,Lowell,Massachusetts,Middlesex County,1851,42.63165279,-71.37344386,1210508.126,1210783.844,2024-03-13 0:00:00
363f50e2-9771-dfb4-1ff5-3d7db24b9ada,2011-09-04,,999-22-4018,,,,Juliette736,McClure239,,,M,white,nonhispanic,F,Quincy  Massachusetts  US,293 Pacocha Knoll Unit 74,Boston,Massachusetts,Suffolk County,2128,42.4360126,-71.01435216,7728.18,0,2024-03-13 0:00:00
63198606-7c07-e63a-42a3-2f47419c881c,2015-01-22,,999-39-5566,,,,Rashida558,Murray856,,S,,white,nonhispanic,F,Westborough  Massachusetts  US,400 Crooks Orchard,Everett,Massachusetts,Middlesex County,2149,42.43031721,-71.01885713,188478.56,131.22,2024-03-03 0:00:00
1111,,,999-11-1111,,,,,,,,,,,,,,,,,,,,,,
